"Gene start (bp)"	"Gene end (bp)"	"HGNC symbol"	"Gene stable ID version"	"Gene stable ID"	"Chromosome/scaffold name"
223855716	223945357	"WDFY1"	"ENSG00000085449.15"	"ENSG00000085449"	2
195568705	195584033	"APOD"	"ENSG00000189058.9"	"ENSG00000189058"	3
69084937	69106092	"ARL6IP5"	"ENSG00000144746.7"	"ENSG00000144746"	3
141876124	141926549	"ATP1B3"	"ENSG00000069849.11"	"ENSG00000069849"	3
107522936	107811339	"BBX"	"ENSG00000114439.19"	"ENSG00000114439"	3
187721377	187745725	"BCL6"	"ENSG00000113916.18"	"ENSG00000113916"	3
108043091	108091862	"CD47"	"ENSG00000196776.17"	"ENSG00000196776"	3
9933793	9945413	"CRELD1"	"ENSG00000163703.20"	"ENSG00000163703"	3
49468703	49535618	"DAG1"	"ENSG00000173402.12"	"ENSG00000173402"	3
98795941	98901695	"DCBLD2"	"ENSG00000057019.16"	"ENSG00000057019"	3
121663199	121749755	"GOLGB1"	"ENSG00000173230.16"	"ENSG00000173230"	3
190514051	190659750	"IL1RAP"	"ENSG00000196083.10"	"ENSG00000196083"	3
49121114	49133118	"LAMB2"	"ENSG00000172037.14"	"ENSG00000172037"	3
101827991	101861022	"NFKBIZ"	"ENSG00000144802.11"	"ENSG00000144802"	3
93873051	93980003	"PROS1"	"ENSG00000184500.16"	"ENSG00000184500"	3
187368385	187372076	"RTP4"	"ENSG00000136514.3"	"ENSG00000136514"	3
50267558	50277546	"SEMA3B"	"ENSG00000012171.20"	"ENSG00000012171"	3
98706236	98732757	"ST3GAL6-AS1"	"ENSG00000239445.6"	"ENSG00000239445"	3
133746040	133796641	"TF"	"ENSG00000091513.16"	"ENSG00000091513"	3
149369022	149377692	"TM4SF1"	"ENSG00000169908.12"	"ENSG00000169908"	3
48561718	48563781	"UCN2"	"ENSG00000145040.4"	"ENSG00000145040"	3
114314500	115147288	"ZBTB20"	"ENSG00000181722.17"	"ENSG00000181722"	3
141324213	141449792	"ZBTB38"	"ENSG00000177311.12"	"ENSG00000177311"	3
177430774	177442437	"AGA"	"ENSG00000038002.9"	"ENSG00000038002"	4
155921580	155953912	"CTSO"	"ENSG00000256043.5"	"ENSG00000256043"	4
186191567	186213463	"CYP4V2"	"ENSG00000145476.16"	"ENSG00000145476"	4
57030773	57110385	"IGFBP7"	"ENSG00000163453.11"	"ENSG00000163453"	4
108167525	108258037	"LEF1-AS1"	"ENSG00000232021.8"	"ENSG00000232021"	4
3503612	3532446	"LRPAP1"	"ENSG00000163956.13"	"ENSG00000163956"	4
4348140	4419058	"NSG1"	"ENSG00000168824.15"	"ENSG00000168824"	4
76158737	76234536	"SCARB2"	"ENSG00000138760.11"	"ENSG00000138760"	4
1166932	1208962	"SPON2"	"ENSG00000159674.12"	"ENSG00000159674"	4
87975667	87983532	"SPP1"	"ENSG00000118785.15"	"ENSG00000118785"	4
188091272	188109603	"TRIML2"	"ENSG00000179046.9"	"ENSG00000179046"	4
96525267	96779595	"CAST"	"ENSG00000153113.24"	"ENSG00000153113"	5
138465479	138469303	"EGR1"	"ENSG00000120738.8"	"ENSG00000120738"	5
55935095	55995022	"IL6ST"	"ENSG00000134352.20"	"ENSG00000134352"	5
80650000	80650086	"MTRNR2L2"	"ENSG00000271043.2"	"ENSG00000271043"	5
159157409	159210053	"RNF145"	"ENSG00000145860.12"	"ENSG00000145860"	5
149960758	149993455	"SLC26A2"	"ENSG00000155850.9"	"ENSG00000155850"	5
179806398	179838078	"SQSTM1"	"ENSG00000161011.20"	"ENSG00000161011"	5
177592203	177597242	"TMED9"	"ENSG00000184840.12"	"ENSG00000184840"	5
31982057	32002681	"C4A"	"ENSG00000244731.8"	"ENSG00000244731"	6
42890265	42890821	"C6orf226"	"ENSG00000221821.4"	"ENSG00000221821"	6
41934934	42050357	"CCND3"	"ENSG00000112576.13"	"ENSG00000112576"	6
30876421	30900156	"DDR1"	"ENSG00000204580.14"	"ENSG00000204580"	6
29941260	29945884	"HLA-A"	"ENSG00000206503.13"	"ENSG00000206503"	6
31353872	31357188	"HLA-B"	"ENSG00000234745.13"	"ENSG00000234745"	6
31268749	31272130	"HLA-C"	"ENSG00000204525.18"	"ENSG00000204525"	6
32517353	32530287	"HLA-DRB5"	"ENSG00000198502.6"	"ENSG00000198502"	6
30489509	30494194	"HLA-E"	"ENSG00000204592.9"	"ENSG00000204592"	6
29722775	29738528	"HLA-F"	"ENSG00000204642.14"	"ENSG00000204642"	6
29826967	29831125	"HLA-G"	"ENSG00000204632.13"	"ENSG00000204632"	6
29887752	29890482	"HLA-H"	"ENSG00000206341.7"	"ENSG00000206341"	6
31815543	31817946	"HSPA1A"	"ENSG00000204389.10"	"ENSG00000204389"	6
391752	411443	"IRF4"	"ENSG00000137265.15"	"ENSG00000137265"	6
10429255	10435015	"LINC00518"	"ENSG00000183674.12"	"ENSG00000183674"	6
138088505	138107419	"PERP"	"ENSG00000112378.12"	"ENSG00000112378"	6
32844136	32859851	"PSMB9"	"ENSG00000240065.8"	"ENSG00000240065"	6
122443351	122471807	"SERINC1"	"ENSG00000111897.7"	"ENSG00000111897"	6
134169248	134318112	"SGK1"	"ENSG00000118515.12"	"ENSG00000118515"	6
157700387	157945077	"SNX9"	"ENSG00000130340.17"	"ENSG00000130340"	6
132445867	132513198	"STX7"	"ENSG00000079950.14"	"ENSG00000079950"	6
33299694	33314254	"TAPBP"	"ENSG00000231925.13"	"ENSG00000231925"	6
10393186	10419659	"TFAP2A"	"ENSG00000137203.15"	"ENSG00000137203"	6
44104345	44114562	"AEBP1"	"ENSG00000106624.11"	"ENSG00000106624"	7
128739292	128773400	"CALU"	"ENSG00000128595.17"	"ENSG00000128595"	7
116524994	116561179	"CAV1"	"ENSG00000105974.13"	"ENSG00000105974"	7
116287380	116508541	"CAV2"	"ENSG00000105971.15"	"ENSG00000105971"	7
121348878	121396364	"FAM3C"	"ENSG00000196937.11"	"ENSG00000196937"	7
23235967	23275108	"GPNMB"	"ENSG00000136235.17"	"ENSG00000136235"	7
142666272	142667718	"MTRNR2L6"	"ENSG00000270672.1"	"ENSG00000270672"	7
95583499	95596516	"PDK4"	"ENSG00000004799.8"	"ENSG00000004799"	7
94524204	94656572	"SGCE"	"ENSG00000127990.19"	"ENSG00000127990"	7
129434432	129488399	"STRIP2"	"ENSG00000128578.10"	"ENSG00000128578"	7
106090505	106112576	"SYPL1"	"ENSG00000008282.9"	"ENSG00000008282"	7
48088628	48108736	"UPP1"	"ENSG00000183696.14"	"ENSG00000183696"	7
19404161	19758029	"CSGALNACT1"	"ENSG00000147408.15"	"ENSG00000147408"	8
11842524	11869533	"CTSB"	"ENSG00000164733.22"	"ENSG00000164733"	8
26514031	26658178	"DPYSL2"	"ENSG00000092964.18"	"ENSG00000092964"	8
29333064	29350684	"DUSP4"	"ENSG00000120875.9"	"ENSG00000120875"	8
27490781	27545564	"EPHX2"	"ENSG00000120915.14"	"ENSG00000120915"	8
123497889	123541206	"FBXO32"	"ENSG00000156804.7"	"ENSG00000156804"	8
38400215	38468834	"FGFR1"	"ENSG00000077782.22"	"ENSG00000077782"	8
94249253	94262350	"GEM"	"ENSG00000164949.8"	"ENSG00000164949"	8
19901717	19967259	"LPL"	"ENSG00000175445.17"	"ENSG00000175445"	8
143017982	143023832	"LY6E"	"ENSG00000160932.11"	"ENSG00000160932"	8
73991392	74029079	"LY96"	"ENSG00000154589.7"	"ENSG00000154589"	8
97868840	98036724	"MATN2"	"ENSG00000132561.14"	"ENSG00000132561"	8
58552924	58582859	"SDCBP"	"ENSG00000137575.12"	"ENSG00000137575"	8
22367278	22434129	"SLC39A14"	"ENSG00000104635.15"	"ENSG00000104635"	8
73151865	73170393	"ANXA1"	"ENSG00000135046.14"	"ENSG00000135046"	9
121207794	121332843	"GSN"	"ENSG00000148180.21"	"ENSG00000148180"	9
107484852	107490482	"KLF4"	"ENSG00000136826.15"	"ENSG00000136826"	9
75060573	75088217	"NMRK1"	"ENSG00000106733.21"	"ENSG00000106733"	9
121338987	121370304	"STOM"	"ENSG00000148175.13"	"ENSG00000148175"	9
115019575	115118257	"TNC"	"ENSG00000041982.16"	"ENSG00000041982"	9
88935074	88991339	"ACTA2"	"ENSG00000107796.13"	"ENSG00000107796"	10
1022630	1045425	"IDI2-AS1"	"ENSG00000232656.9"	"ENSG00000232656"	10
32887273	33005792	"ITGB1"	"ENSG00000150093.20"	"ENSG00000150093"	10
3775996	3785281	"KLF6"	"ENSG00000067082.15"	"ENSG00000067082"	10
55599042	55600728	"MTRNR2L5"	"ENSG00000249860.4"	"ENSG00000249860"	10
37601440	37602974	"MTRNR2L7"	"ENSG00000256892.2"	"ENSG00000256892"	10
71816298	71851251	"PSAP"	"ENSG00000197746.15"	"ENSG00000197746"	10
10305073	10307397	"ADM"	"ENSG00000148926.10"	"ENSG00000148926"	11
62433542	62556235	"AHNAK"	"ENSG00000124942.14"	"ENSG00000124942"	11
130068147	130144811	"APLP2"	"ENSG00000084234.18"	"ENSG00000084234"	11
105041326	105101431	"CARD16"	"ENSG00000204397.10"	"ENSG00000204397"	11
105025443	105035250	"CASP1"	"ENSG00000137752.24"	"ENSG00000137752"	11
832887	839831	"CD151"	"ENSG00000177697.19"	"ENSG00000177697"	11
35138882	35232402	"CD44"	"ENSG00000026508.21"	"ENSG00000026508"	11
33703010	33736479	"CD59"	"ENSG00000085063.17"	"ENSG00000085063"	11
111908564	111923722	"CRYAB"	"ENSG00000109846.9"	"ENSG00000109846"	11
1752752	1764573	"CTSD"	"ENSG00000117984.15"	"ENSG00000117984"	11
61959718	61967634	"FTH1"	"ENSG00000167996.16"	"ENSG00000167996"	11
20363685	20383782	"HTATIP2"	"ENSG00000109854.14"	"ENSG00000109854"	11
65497688	65506516	"MALAT1"	"ENSG00000251562.9"	"ENSG00000251562"	11
119308529	119321521	"MCAM"	"ENSG00000076706.17"	"ENSG00000076706"	11
10507894	10509186	"MTRNR2L8"	"ENSG00000255823.5"	"ENSG00000255823"	11
19350724	20121601	"NAV2"	"ENSG00000166833.23"	"ENSG00000166833"	11
65422774	65445540	"NEAT1"	"ENSG00000245532.10"	"ENSG00000245532"	11
114257787	114313536	"NNMT"	"ENSG00000166741.8"	"ENSG00000166741"	11
86791059	86952910	"PRSS23"	"ENSG00000150687.12"	"ENSG00000150687"	11
2899721	2925246	"SLC22A18"	"ENSG00000110628.16"	"ENSG00000110628"	11
6612768	6619448	"TPP1"	"ENSG00000166340.18"	"ENSG00000166340"	11
5689697	5737089	"TRIM22"	"ENSG00000132274.16"	"ENSG00000132274"	11
89177875	89295759	"TYR"	"ENSG00000077498.9"	"ENSG00000077498"	11
9067664	9116229	"A2M"	"ENSG00000175899.15"	"ENSG00000175899"	12
55725323	55729707	"CD63"	"ENSG00000135404.12"	"ENSG00000135404"	12
6199715	6238271	"CD9"	"ENSG00000010278.15"	"ENSG00000010278"	12
89347235	89352501	"DUSP6"	"ENSG00000139318.8"	"ENSG00000139318"	12
92770637	92929331	"EEA1"	"ENSG00000102189.17"	"ENSG00000102189"	12
13196723	13219941	"EMP1"	"ENSG00000134531.10"	"ENSG00000134531"	12
56076799	56103505	"ERBB3"	"ENSG00000065361.17"	"ENSG00000065361"	12
55684568	55716404	"ITGA7"	"ENSG00000135424.19"	"ENSG00000135424"	12
52022832	52059507	"NR4A1"	"ENSG00000123358.20"	"ENSG00000123358"	12
121210065	121234106	"P2RX4"	"ENSG00000135124.16"	"ENSG00000135124"	12
55720367	55724705	"RDH5"	"ENSG00000135437.10"	"ENSG00000135437"	12
6451690	6466517	"TAPBPL"	"ENSG00000139192.12"	"ENSG00000139192"	12
49707725	49764934	"TMBIM6"	"ENSG00000139644.13"	"ENSG00000139644"	12
124911604	124917368	"UBC"	"ENSG00000150991.16"	"ENSG00000150991"	12
48232612	48270357	"ITM2B"	"ENSG00000136156.15"	"ENSG00000136156"	13
46125920	46211871	"LCP1"	"ENSG00000136167.15"	"ENSG00000136167"	13
80335976	80341126	"SPRY2"	"ENSG00000136158.12"	"ENSG00000136158"	13
75278826	75282230	"FOS"	"ENSG00000170345.10"	"ENSG00000170345"	14
94104836	94116695	"IFI27"	"ENSG00000165949.13"	"ENSG00000165949"	14
94127779	94130253	"IFI27L2"	"ENSG00000119632.4"	"ENSG00000119632"	14
55124110	55145423	"LGALS3"	"ENSG00000131981.16"	"ENSG00000131981"	14
92703807	92748679	"LGMN"	"ENSG00000100600.15"	"ENSG00000100600"	14
22836560	22849041	"MMP14"	"ENSG00000157227.14"	"ENSG00000157227"	14
35401513	35404749	"NFKBIA"	"ENSG00000100906.11"	"ENSG00000100906"	14
74476192	74494177	"NPC2"	"ENSG00000119655.11"	"ENSG00000119655"	14
81471547	81533853	"SEL1L"	"ENSG00000071537.14"	"ENSG00000071537"	14
94376747	94390693	"SERPINA1"	"ENSG00000197249.14"	"ENSG00000197249"	14
94612384	94624055	"SERPINA3"	"ENSG00000196136.18"	"ENSG00000196136"	14
23125295	23183674	"SLC7A8"	"ENSG00000092068.21"	"ENSG00000092068"	14
63761899	64226433	"SYNE2"	"ENSG00000054654.20"	"ENSG00000054654"	14
75131469	75176612	"TMED10"	"ENSG00000170348.9"	"ENSG00000170348"	14
60347134	60402883	"ANXA2"	"ENSG00000182718.18"	"ENSG00000182718"	15
44711487	44718851	"B2M"	"ENSG00000166710.22"	"ENSG00000166710"	15
75674322	75712848	"CSPG4"	"ENSG00000173546.7"	"ENSG00000173546"	15
32765544	33194714	"FMN1"	"ENSG00000248905.10"	"ENSG00000248905"	15
98648539	98964530	"IGF1R"	"ENSG00000140443.15"	"ENSG00000140443"	15
41828092	41837581	"JMJD7"	"ENSG00000243789.11"	"ENSG00000243789"	15
88898683	88913381	"MFGE8"	"ENSG00000140545.15"	"ENSG00000140545"	15
55202966	55319113	"RAB27A"	"ENSG00000069974.16"	"ENSG00000069974"	15
48823741	48963919	"SHC4"	"ENSG00000185634.12"	"ENSG00000185634"	15
68818221	68946811	"SPESP1"	"ENSG00000258484.4"	"ENSG00000258484"	15
40844018	40858207	"SPINT1"	"ENSG00000166145.15"	"ENSG00000166145"	15
2513952	2520218	"ATP6V0C"	"ENSG00000185883.12"	"ENSG00000185883"	16
68737292	68835537	"CDH1"	"ENSG00000039068.20"	"ENSG00000039068"	16
30182827	30189076	"CORO1A"	"ENSG00000102879.16"	"ENSG00000102879"	16
56625475	56627112	"MT1E"	"ENSG00000169715.15"	"ENSG00000169715"	16
56632659	56633981	"MT1M"	"ENSG00000205364.4"	"ENSG00000205364"	16
56682470	56684196	"MT1X"	"ENSG00000187193.9"	"ENSG00000187193"	16
56608584	56609497	"MT2A"	"ENSG00000125148.7"	"ENSG00000125148"	16
3370979	3372668	"MTRNR2L4"	"ENSG00000232196.4"	"ENSG00000232196"	16
29613103	29613640	"SLC7A5P1"	"ENSG00000260727.2"	"ENSG00000260727"	16
42678889	42683917	"CCR10"	"ENSG00000184451.5"	"ENSG00000184451"	17
64498254	64508199	"DDX5"	"ENSG00000108654.16"	"ENSG00000108654"	17
42700275	42745049	"EZH1"	"ENSG00000108799.13"	"ENSG00000108799"	17
80101556	80119881	"GAA"	"ENSG00000171298.13"	"ENSG00000171298"	17
44345246	44353106	"GRN"	"ENSG00000030582.18"	"ENSG00000030582"	17
43006740	43014456	"IFI35"	"ENSG00000068079.8"	"ENSG00000068079"	17
50055968	50090481	"ITGA3"	"ENSG00000005884.18"	"ENSG00000005884"	17
47253827	47313743	"ITGB3"	"ENSG00000259207.9"	"ENSG00000259207"	17
78971238	78979947	"LGALS3BP"	"ENSG00000108679.13"	"ENSG00000108679"	17
27878314	27894752	"LYRM9"	"ENSG00000232859.10"	"ENSG00000232859"	17
22523415	22524663	"MTRNR2L1"	"ENSG00000256618.3"	"ENSG00000256618"	17
32492522	32877177	"MYO1D"	"ENSG00000176658.17"	"ENSG00000176658"	17
48048329	48061545	"NFE2L1"	"ENSG00000082641.16"	"ENSG00000082641"	17
80260852	80398794	"RNF213"	"ENSG00000173821.20"	"ENSG00000173821"	17
76565377	76586956	"ST6GALNAC2"	"ENSG00000070731.11"	"ENSG00000070731"	17
78168581	78173527	"SYNGR2"	"ENSG00000108639.8"	"ENSG00000108639"	17
78852977	78925387	"TIMP2"	"ENSG00000035862.12"	"ENSG00000035862"	17
43014607	43025123	"VAT1"	"ENSG00000108828.16"	"ENSG00000108828"	17
75845699	75856507	"WBP2"	"ENSG00000132471.12"	"ENSG00000132471"	17
66501083	66604138	"CDH19"	"ENSG00000071991.9"	"ENSG00000071991"	18
23506184	23586506	"NPC1"	"ENSG00000141458.13"	"ENSG00000141458"	18
59139866	59158832	"SEC11C"	"ENSG00000166562.9"	"ENSG00000166562"	18
8363289	8374370	"ANGPTL4"	"ENSG00000167772.12"	"ENSG00000167772"	19
44946035	44949565	"APOC2"	"ENSG00000234906.11"	"ENSG00000234906"	19
44905791	44909393	"APOE"	"ENSG00000130203.10"	"ENSG00000130203"	19
676392	683392	"FSTL3"	"ENSG00000070404.10"	"ENSG00000070404"	19
2476122	2478259	"GADD45B"	"ENSG00000099860.9"	"ENSG00000099860"	19
43766533	43780976	"KCNN4"	"ENSG00000104783.15"	"ENSG00000104783"	19
40771648	40777490	"MIA"	"ENSG00000261857.7"	"ENSG00000261857"	19
23626706	23638473	"CST3"	"ENSG00000101439.9"	"ENSG00000101439"	20
45890144	45898949	"CTSA"	"ENSG00000064601.21"	"ENSG00000064601"	20
57358447	57359498	"MTRNR2L3"	"ENSG00000256222.3"	"ENSG00000256222"	20
4686350	4701590	"PRNP"	"ENSG00000171867.18"	"ENSG00000171867"	20
25248085	25298012	"PYGB"	"ENSG00000100994.12"	"ENSG00000100994"	20
23045633	23049672	"THBD"	"ENSG00000178726.7"	"ENSG00000178726"	20
7977346	8019805	"TMX4"	"ENSG00000125827.9"	"ENSG00000125827"	20
41167801	41282530	"BACE2"	"ENSG00000182240.16"	"ENSG00000182240"	21
46598604	46605208	"S100B"	"ENSG00000160307.10"	"ENSG00000160307"	21
34073578	34106260	"SLC5A3"	"ENSG00000198743.7"	"ENSG00000198743"	21
31659666	31668931	"SOD1"	"ENSG00000142168.15"	"ENSG00000142168"	21
36253071	36267530	"APOL1"	"ENSG00000100342.21"	"ENSG00000100342"	22
50622754	50628173	"ARSA"	"ENSG00000100299.18"	"ENSG00000100299"	22
38483438	38507660	"DDX17"	"ENSG00000100201.23"	"ENSG00000100201"	22
37675636	37679802	"LGALS1"	"ENSG00000100097.12"	"ENSG00000100097"	22
31281594	31292534	"PIK3IP1"	"ENSG00000100100.13"	"ENSG00000100100"	22
32801705	32863041	"TIMP3"	"ENSG00000100234.12"	"ENSG00000100234"	22
43039516	43089419	"TTLL1"	"ENSG00000100271.17"	"ENSG00000100271"	22
2899745	2925175	"SLC22A18"	"ENSG00000276130.4"	"ENSG00000276130"	"CHR_HSCHR11_1_CTG7"
94104836	94116698	"IFI27"	"ENSG00000275214.4"	"ENSG00000275214"	"CHR_HSCHR14_7_CTG1"
94127779	94130253	"IFI27L2"	"ENSG00000276879.2"	"ENSG00000276879"	"CHR_HSCHR14_7_CTG1"
94378757	94392703	"SERPINA1"	"ENSG00000277377.4"	"ENSG00000277377"	"CHR_HSCHR14_7_CTG1"
44711489	44718888	"B2M"	"ENSG00000273686.4"	"ENSG00000273686"	"CHR_HSCHR15_3_CTG8"
155924118	155953911	"CTSO"	"ENSG00000263238.1"	"ENSG00000263238"	"CHR_HSCHR4_1_CTG12"
30949136	30953340	"DDR1"	"ENSG00000229767.9"	"ENSG00000229767"	"CHR_HSCHR6_MHC_APD_CTG1"
29881755	30002076	"HLA-A"	"ENSG00000229215.9"	"ENSG00000229215"	"CHR_HSCHR6_MHC_APD_CTG1"
29826986	29831158	"HLA-G"	"ENSG00000276051.4"	"ENSG00000276051"	"CHR_HSCHR6_MHC_APD_CTG1"
29881898	29884620	"HLA-H"	"ENSG00000231904.3"	"ENSG00000231904"	"CHR_HSCHR6_MHC_APD_CTG1"
31882493	31884975	"HSPA1A"	"ENSG00000235941.5"	"ENSG00000235941"	"CHR_HSCHR6_MHC_APD_CTG1"
32883408	32918836	"PSMB9"	"ENSG00000242711.8"	"ENSG00000242711"	"CHR_HSCHR6_MHC_APD_CTG1"
30870863	30890046	"DDR1"	"ENSG00000137332.19"	"ENSG00000137332"	"CHR_HSCHR6_MHC_COX_CTG1"
29879141	29999464	"HLA-A"	"ENSG00000224320.9"	"ENSG00000224320"	"CHR_HSCHR6_MHC_COX_CTG1"
31260536	31347723	"HLA-B"	"ENSG00000223532.10"	"ENSG00000223532"	"CHR_HSCHR6_MHC_COX_CTG1"
31259794	31263175	"HLA-C"	"ENSG00000233841.11"	"ENSG00000233841"	"CHR_HSCHR6_MHC_COX_CTG1"
30479321	30484059	"HLA-E"	"ENSG00000233904.6"	"ENSG00000233904"	"CHR_HSCHR6_MHC_COX_CTG1"
29716754	29732497	"HLA-F"	"ENSG00000137403.19"	"ENSG00000137403"	"CHR_HSCHR6_MHC_COX_CTG1"
29820648	29824817	"HLA-G"	"ENSG00000230413.9"	"ENSG00000230413"	"CHR_HSCHR6_MHC_COX_CTG1"
29879284	29882006	"HLA-H"	"ENSG00000226893.3"	"ENSG00000226893"	"CHR_HSCHR6_MHC_COX_CTG1"
31802834	31805316	"HSPA1A"	"ENSG00000237724.5"	"ENSG00000237724"	"CHR_HSCHR6_MHC_COX_CTG1"
32766454	32801905	"PSMB9"	"ENSG00000243067.7"	"ENSG00000243067"	"CHR_HSCHR6_MHC_COX_CTG1"
33221298	33235989	"TAPBP"	"ENSG00000112493.12"	"ENSG00000112493"	"CHR_HSCHR6_MHC_COX_CTG1"
31964204	31984862	"C4A"	"ENSG00000244207.8"	"ENSG00000244207"	"CHR_HSCHR6_MHC_DBB_CTG1"
30871677	30890873	"DDR1"	"ENSG00000230456.10"	"ENSG00000230456"	"CHR_HSCHR6_MHC_DBB_CTG1"
29879362	29999797	"HLA-A"	"ENSG00000235657.9"	"ENSG00000235657"	"CHR_HSCHR6_MHC_DBB_CTG1"
31260956	31264327	"HLA-C"	"ENSG00000228299.9"	"ENSG00000228299"	"CHR_HSCHR6_MHC_DBB_CTG1"
30479706	30484444	"HLA-E"	"ENSG00000229252.6"	"ENSG00000229252"	"CHR_HSCHR6_MHC_DBB_CTG1"
29720256	29736008	"HLA-F"	"ENSG00000235220.10"	"ENSG00000235220"	"CHR_HSCHR6_MHC_DBB_CTG1"
29824187	29828345	"HLA-G"	"ENSG00000235346.9"	"ENSG00000235346"	"CHR_HSCHR6_MHC_DBB_CTG1"
29879367	29882089	"HLA-H"	"ENSG00000227669.3"	"ENSG00000227669"	"CHR_HSCHR6_MHC_DBB_CTG1"
31797650	31800132	"HSPA1A"	"ENSG00000234475.5"	"ENSG00000234475"	"CHR_HSCHR6_MHC_DBB_CTG1"
32822113	32857517	"PSMB9"	"ENSG00000240118.7"	"ENSG00000240118"	"CHR_HSCHR6_MHC_DBB_CTG1"
33277619	33292309	"TAPBP"	"ENSG00000236490.9"	"ENSG00000236490"	"CHR_HSCHR6_MHC_DBB_CTG1"
30925624	30944801	"DDR1"	"ENSG00000234078.10"	"ENSG00000234078"	"CHR_HSCHR6_MHC_MANN_CTG1"
29930208	29934849	"HLA-A"	"ENSG00000231834.10"	"ENSG00000231834"	"CHR_HSCHR6_MHC_MANN_CTG1"
31312948	31400264	"HLA-B"	"ENSG00000224608.10"	"ENSG00000224608"	"CHR_HSCHR6_MHC_MANN_CTG1"
31312208	31315579	"HLA-C"	"ENSG00000237022.10"	"ENSG00000237022"	"CHR_HSCHR6_MHC_MANN_CTG1"
30534109	30538847	"HLA-E"	"ENSG00000236632.5"	"ENSG00000236632"	"CHR_HSCHR6_MHC_MANN_CTG1"
29719844	29735599	"HLA-F"	"ENSG00000237508.10"	"ENSG00000237508"	"CHR_HSCHR6_MHC_MANN_CTG1"
29823861	29828018	"HLA-G"	"ENSG00000235680.8"	"ENSG00000235680"	"CHR_HSCHR6_MHC_MANN_CTG1"
29878611	29881327	"HLA-H"	"ENSG00000223463.3"	"ENSG00000223463"	"CHR_HSCHR6_MHC_MANN_CTG1"
32997896	33033347	"PSMB9"	"ENSG00000239836.7"	"ENSG00000239836"	"CHR_HSCHR6_MHC_MANN_CTG1"
32091205	32111862	"C4A"	"ENSG00000227746.9"	"ENSG00000227746"	"CHR_HSCHR6_MHC_MCF_CTG1"
30959531	30970646	"DDR1"	"ENSG00000223680.10"	"ENSG00000223680"	"CHR_HSCHR6_MHC_MCF_CTG1"
